"depth_bin","oxygen","chlorophyll_max"
2070,73.2761852861035,44.5041525885559
2080,73.4350484094053,44.9564647302905
2090,74.1814504830918,43.5884855072464
2100,75.1814357284113,27.5736051417271
2110,75.7503867674858,19.7449580340265
2120,76.0717698658411,35.8157874097007
2130,76.6990181268882,37.0712910372608
2140,77.288488372093,36.8033306370071
2150,77.875896090535,35.9496358024691
2160,78.3576557894737,37.0652010526316
2170,79.4218449163449,26.9166081081081
2180,80.0220579757615,19.3624084507042
2190,79.5434391304348,61.1844391304348
2200,79.7719939148073,60.5903671399594
2210,79.9083442307692,59.8935230769231
2220,80.2672224489796,60.3659510204082
2230,81.0879128630705,60.6285435684647
2240,81.896089668616,61.622649122807
2250,81.9928468809074,61.4358998109641
2260,82.3834465811966,60.2476538461538
2270,82.9619402061856,60.9449628865979
2280,83.095052532833,59.8771575984991
2290,83.7860509164969,61.2108940936864
2300,84.2174779116466,60.724843373494
2310,84.675752016129,62.0431088709677
2320,84.82626953125,61.240734375
2330,84.817602484472,60.854850931677
2340,85.235865234375,61.83701953125
2350,85.2574059196617,59.8396173361522
2360,85.9690511811024,60.8141456692913
2370,86.6364779116466,60.1117951807229
2380,86.8014333333333,59.3606823529412
2390,87.5194036885246,61.436237704918
2400,88.0158439849624,62.0477368421053
2410,88.2338192771084,60.4621084337349
2420,88.8062341772152,60.9
2430,88.9185297619048,60.7269285714286
2440,89.128746031746,60.6403928571429
2450,89.5967298387097,60.020685483871
2460,90.08766796875,61.32591796875
2470,90.2707085020243,60.9
2480,90.1693188118812,59.9068099009901
2490,90.4711287726358,60.4173501006036
2500,90.8870805500982,61.9710707269155
2510,90.9866507633588,60.4838358778626
2520,91.4812389006343,60.6694820295983
2530,91.7673779069767,60.984523255814
2540,91.9198160469667,60.6866242661448
2550,92.0682459677419,60.2844798387097
2560,92.649826,60.114948
2570,93.1233052208835,60.2869518072289
2580,93.4767489878543,61.1648623481781
2590,93.9925933202358,60.6001001964637
2600,94.5855296442688,61.417162055336
2610,94.9254536290323,60.4603427419355
2620,95.0054140625,59.5370625
2630,95.2124911591356,61.5426424361493
2640,95.2974841897233,60.7276126482213
2650,95.6630286298569,59.8743128834356
2660,96.1475477178423,60.9904854771784
2670,96.4931020408163,62.3969554730983
2680,96.484433808554,59.523183299389
2690,97.030467611336,61.3414372469636
2700,97.18575,59.7475975609756
2710,97.4534429133858,60.9
2720,97.916041749503,60.9433538767396
2730,98.1387142857143,60.5051046277666
2740,98.4498964143426,60.639358565737
2750,98.8244482758621,61.0671034482759
2760,98.9010927021696,60.6849408284024
2770,99.1037270955166,60.2623684210526
2780,99.6390297619048,61.1596071428571
2790,99.9165,60.549686746988
2800,100.173498960499,59.8572536382536
2810,100.605576470588,61.3275882352941
2820,100.708862275449,60.9435269461078
2830,100.910536779324,61.0300616302187
2840,101.199157389635,61.1929923224568
2850,101.401774451098,60.5082574850299
2860,101.916284253579,60.2310736196319
2870,101.885638211382,59.9248902439024
2880,102.175251509054,60.6806136820926
2890,102.528474206349,60.4673214285714
2900,102.795656862745,60.9
2910,103.071344632768,61.4338813559322
2920,103.173666666667,61.0337852760736
2930,103.27046812749,59.6836733067729
2940,103.497271317829,60.9
2950,103.979826722338,61.582891440501
2960,104.066206349206,60.29425
2970,104.409748514851,61.2886396039604
2980,104.716937621832,60.7724736842105
2990,104.782381651376,60.1397559633028
3000,104.547458724203,48.5849774859287
3010,106.210991935484,66.5276129032258
3020,107.69925390625,82.707
3030,107.901172131148,82.707
3040,107.888890625,82.707
3050,108.204640316206,82.707
3060,108.460880165289,82.707
3070,108.601193548387,82.707
3080,108.797593360996,82.707
3090,109.039549586777,82.707
3100,109.229621818182,82.707
3110,109.5632890625,82.707
3120,109.773384615385,82.707
3130,109.908726890756,82.707
3140,110.310333333333,82.707
3150,110.604428571429,82.707
3160,110.868033195021,82.707
3170,111.117142857143,82.707
3180,111.276844827586,82.707
3190,111.349721189591,82.707
3200,111.486018587361,82.707
3210,111.804827868852,82.707
3220,112.024110132159,82.707
3230,112.356685714286,82.707
3240,112.49212195122,82.707
3250,112.618751020408,82.707
3260,112.907878431373,82.707
3270,113.225739299611,82.707
3280,113.546125984252,82.707
3290,113.679613899614,82.707
3300,113.764282700422,82.707
3310,113.89508974359,82.707
3320,114.108,82.707
3330,114.185252066116,82.707
3340,114.303163120567,82.707
3350,114.388424710425,82.707
3360,114.541323770492,82.707
3370,114.604456349206,82.707
3380,114.831208402432,82.707
